iter	MultiClass
0	1.212285662
1	1.082170829
2	0.98284964
3	0.9019496955
4	0.8278262503
5	0.7672401921
6	0.7108534974
7	0.6689752878
8	0.6288979048
9	0.592963526
10	0.5586784316
11	0.5286476907
12	0.503190276
13	0.4798786584
14	0.4601274912
15	0.4402725819
16	0.4228190917
17	0.4066097132
18	0.3914869227
19	0.3776435337
20	0.3654221233
21	0.3542290941
22	0.3432620895
23	0.3332997139
24	0.324089107
25	0.3147571518
26	0.3062013026
27	0.2981103452
28	0.2917776182
29	0.2860040918
30	0.2805445062
31	0.2749578948
32	0.2704298597
33	0.2661770703
34	0.2632472813
35	0.2590635065
36	0.2559219084
37	0.2539291607
38	0.2495261402
39	0.2460781609
40	0.2419183746
41	0.2393053688
42	0.2352088564
43	0.2324239092
44	0.2294017948
45	0.2275127995
46	0.2245490068
47	0.2224210231
48	0.2198659596
49	0.2182430333
50	0.2150800183
51	0.2135075383
52	0.2118061213
53	0.2095191072
54	0.2072528323
55	0.2052242441
56	0.203380511
57	0.2014530528
58	0.1989651859
59	0.1971172686
60	0.1957251591
61	0.1938828935
62	0.1925098693
63	0.1909465923
64	0.1893348162
65	0.1873758444
66	0.185545691
67	0.1843790307
68	0.182827178
69	0.1814792396
70	0.1801273522
71	0.1781846419
72	0.1774938617
73	0.1762392628
74	0.1751157769
75	0.1734012048
76	0.1724847512
77	0.1714450203
78	0.1706180165
79	0.1695891339
80	0.1683385075
81	0.1675964142
82	0.166607804
83	0.1660329652
84	0.1652057793
85	0.1646441108
86	0.1640157322
87	0.1632012738
88	0.1617751568
89	0.1603861279
90	0.1597528936
91	0.15871046
92	0.1578753062
93	0.1574686355
94	0.1571538604
95	0.1564026765
96	0.1555411266
97	0.1546256611
98	0.1534506055
99	0.1525213605
100	0.151718386
101	0.1505983093
102	0.1500449984
103	0.1491030261
104	0.1481130943
105	0.1472684509
106	0.1465333312
107	0.146010988
108	0.145700219
109	0.1451207027
110	0.1443131148
111	0.1437052507
112	0.1426562784
113	0.1420799494
114	0.1414454694
115	0.1409235155
116	0.1400836896
117	0.1397990774
118	0.1388309238
119	0.1378743741
120	0.1371329193
121	0.1363623984
122	0.1359363776
123	0.1355768938
124	0.1353060188
125	0.1348488175
126	0.1341850123
127	0.1334975812
128	0.1330813015
129	0.1323947712
130	0.1320453258
131	0.1317261611
132	0.1313212071
133	0.1305532484
134	0.1300550682
135	0.1297661745
