iter	Passed	Remaining
0	145	145634
1	151	75675
2	159	53050
3	164	41041
4	169	33702
5	176	29257
6	181	25678
7	185	22992
8	192	21159
9	196	19465
10	200	18066
11	207	17081
12	212	16098
13	216	15253
14	222	14612
15	228	14043
16	232	13449
17	239	13068
18	245	12685
19	250	12296
20	257	12016
21	262	11653
22	266	11336
23	273	11136
24	278	10873
25	283	10613
26	289	10426
27	294	10222
28	298	10000
29	304	9856
30	309	9680
31	314	9503
32	319	9353
33	325	9234
34	329	9087
35	334	8949
36	339	8845
37	344	8713
38	348	8595
39	355	8532
40	361	8446
41	366	8356
42	373	8305
43	377	8210
44	382	8124
45	389	8074
46	394	8002
47	399	7931
48	407	7899
49	412	7834
50	418	7792
51	424	7737
52	428	7659
53	435	7628
54	441	7578
55	445	7511
56	451	7476
57	457	7427
58	462	7374
59	468	7341
60	473	7283
61	477	7231
62	484	7199
63	489	7160
64	493	7103
65	498	7059
66	503	7017
67	508	6973
68	513	6923
69	519	6900
70	523	6852
71	528	6808
72	534	6784
73	539	6749
74	543	6708
75	550	6688
76	554	6648
77	559	6610
78	564	6579
79	570	6555
80	574	6518
81	579	6491
82	585	6471
83	590	6435
84	594	6398
85	600	6383
86	604	6345
87	608	6310
88	614	6293
89	619	6267
90	624	6233
91	629	6216
92	634	6190
93	638	6158
94	644	6136
95	650	6126
96	655	6100
97	660	6078
98	666	6069
99	671	6045
100	676	6018
101	682	6006
102	686	5980
103	691	5956
104	697	5942
105	701	5919
106	706	5895
107	718	5938
108	723	5912
109	729	5899
110	734	5882
111	739	5860
112	744	5846
113	750	5834
114	755	5810
115	759	5790
116	765	5773
117	769	5752
118	774	5731
119	781	5728
120	786	5711
121	790	5689
122	796	5680
123	801	5661
124	806	5644
125	812	5638
126	817	5619
127	821	5599
128	827	5585
129	832	5569
130	836	5548
131	841	5532
132	847	5522
133	851	5503
134	856	5486
135	861	5475
136	866	5457
137	870	5438
138	876	5430
139	882	5421
140	887	5404
141	892	5395
142	897	5380
143	903	5370
144	909	5363
145	914	5352
146	919	5334
147	925	5326
148	930	5314
149	935	5303
150	942	5300
151	948	5289
152	953	5277
153	959	5272
154	964	5259
155	968	5241
156	975	5238
157	980	5227
158	985	5211
159	992	5208
160	997	5198
161	1003	5188
162	1009	5183
163	1015	5174
164	1019	5161
165	1025	5154
166	1030	5141
167	1035	5129
168	1042	5124
169	1046	5110
170	1051	5098
171	1058	5094
172	1063	5082
173	1067	5069
174	1074	5063
175	1079	5053
176	1083	5039
177	1089	5032
178	1095	5024
179	1100	5011
180	1106	5005
181	1111	4995
182	1115	4980
183	1120	4968
184	1125	4958
185	1130	4945
186	1134	4931
187	1140	4926
188	1145	4915
189	1150	4902
190	1156	4900
191	1162	4891
192	1167	4881
